number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_image_size,params_learning_rate,params_scheduler_gamma,params_triplet_margin,params_weight_decay,state
0,0.4772727272727273,2025-12-16 12:51:48.394703,2025-12-16 12:52:41.336010,0 days 00:00:52.941307,16,32,96,0.0004247628813241764,0.3162314320079452,0.7004974031649525,4.0375780308684894e-05,COMPLETE
1,0.5318181818181819,2025-12-16 12:52:41.337115,2025-12-16 12:54:12.146379,0 days 00:01:30.809264,4,32,128,0.006066417876484235,0.3366250983293157,1.3900895506025566,0.00010454567981551968,COMPLETE
